entry_date,exit_date,direction,signal_type,entry_spot,exit_spot,pnl_points,pnl_pct,hold_days,exit_reason,entry_gex,entry_gex_z,entry_max_pain,target_pct
2025-09-09,2025-09-10,long,pin_attract,24868.6,24973.1,101.5,0.0040814521123022605,1,target,155719673.83938277,1.1150832712367469,24800.0,0.004
2025-09-15,2025-09-17,long,breakout,25069.2,25330.25,258.0499999999993,0.010293507571043322,2,target,-79406377.8190534,-1.557617869269538,25100.0,0.008
2025-09-19,2025-09-22,short,pin_attract,25327.05,25202.35,121.70000000000073,0.00480513916938612,1,target,121074101.1375212,0.7253118317569186,25350.0,0.004
2025-09-24,2025-09-26,long,pin_attract,25056.9,24654.7,-405.2000000000007,-0.016171194361632953,2,stop_loss,56469437.21317507,-0.2842126596799692,25200.0,0.004
2025-09-30,2025-10-01,long,pin_attract,24611.1,24836.3,222.20000000000073,0.009028446513971368,1,target,169449275.38019767,0.7141518887260919,24750.0,0.004
2025-10-06,2025-10-10,long,breakout,25077.65,25285.35,204.6999999999971,0.008162646818980131,4,target,-41671524.389515676,-1.283438951135437,24900.0,0.008
2025-10-14,2025-10-16,short,pin_attract,25145.5,25585.3,-442.7999999999993,-0.0176095126364558,2,stop_loss,132846887.27286851,0.46696843900756607,25200.0,0.004
2025-10-23,2025-10-30,short,pin_attract,25891.4,25877.85,10.55000000000291,0.00040747120665560416,5,max_hold,157733709.50075036,0.6411621185059482,25600.0,0.004
2025-11-03,2025-11-04,short,gex_spike,25763.35,25597.65,162.6999999999971,0.006315172522206821,1,target,287788002.8174838,2.7875011176743554,25850.0,0.003
2025-11-07,2025-11-11,long,pin_attract,25492.3,25694.95,199.65000000000146,0.007831776654126989,2,pin_reached,115551930.3427867,0.29503108419681867,25600.0,0.004
2025-11-13,2025-11-20,long,breakout,25879.15,26192.15,310.0,0.01197875509821613,5,max_hold,5691630.838461556,-1.1217922067869917,25850.0,0.008
2025-11-25,2025-12-03,short,gex_spike,25884.8,25986.0,-104.20000000000073,-0.004025528495487728,5,max_hold,331654555.95846033,2.9326421125350794,26000.0,0.003
2025-12-05,2025-12-08,short,pin_attract,26186.45,25960.55,222.90000000000146,0.008512035804776953,1,target,97115507.10085268,0.2253474045696482,26000.0,0.004
2025-12-10,2025-12-11,long,pin_attract,25758.0,25898.55,137.54999999999927,0.005340088516189117,1,target,50446588.90824475,-0.3648139095378427,25900.0,0.004
2025-12-16,2025-12-22,long,breakout,25860.1,26172.4,309.3000000000029,0.011960510593539968,4,target,-73406542.74367356,-1.3560069605212983,26000.0,0.008
2025-12-24,2025-12-29,short,pin_attract,26142.1,25942.1,197.0,0.007535737373814652,2,pin_reached,29643093.356760442,-0.3627165329409521,26150.0,0.004
2025-12-31,2026-01-02,long,pin_attract,26129.6,26328.55,195.95000000000073,0.007499158042985761,2,pin_reached,34547740.260740876,-0.43125411082072945,26000.0,0.004
2026-01-09,2026-01-12,long,pin_attract,25683.3,25790.25,103.95000000000073,0.004047377089392746,1,target,206456196.58259472,1.0462224559277364,26000.0,0.004
2026-01-14,2026-01-20,long,pin_attract,25665.6,25232.5,-436.09999999999854,-0.016991615235957803,3,stop_loss,52828039.113530874,-0.12347273951517451,25900.0,0.004
2026-01-22,2026-01-29,long,pin_attract,25289.9,25418.9,126.0,0.004982226106073966,4,pin_reached,22816186.068361823,-0.41377182074850755,25350.0,0.004
2026-02-03,2026-02-06,short,pin_attract,25727.55,25693.7,30.849999999998545,0.001199103684571541,3,end_of_data,49094595.8915238,-0.23939349270428648,25050.0,0.004
