entry_date,exit_date,direction,entry_price,exit_price,hold_days,pnl_pct,exit_reason,entry_z
2025-10-08,2025-10-15,long,25046.15,25323.55,5,0.010945,signal_decay,-1.1535
2025-10-17,2025-10-29,long,25709.85,26053.9,7,0.013252,signal_decay,-0.1712
2025-11-03,2025-11-13,short,25763.35,25879.15,7,-0.004625,signal_decay,1.1696
2025-11-14,2025-11-19,long,25910.05,26052.65,3,0.005373,signal_decay,0.1533
2025-11-25,2025-11-27,short,25884.8,26215.55,2,-0.012908,signal_decay,0.1989
2025-12-03,2025-12-04,long,25986.0,26033.75,1,0.001707,signal_decay,-1.6838
2025-12-05,2025-12-16,short,26186.45,25860.1,7,0.012332,signal_decay,1.2271
2025-12-17,2025-12-19,long,25818.55,25966.4,2,0.005596,signal_decay,-0.8251
2025-12-22,2025-12-23,short,26172.4,26177.15,1,-0.000312,signal_decay,0.7103
2025-12-24,2025-12-30,long,26142.1,25938.85,3,-0.007905,signal_decay,-0.8277
2025-12-31,2026-01-01,short,26129.6,26146.55,1,-0.000779,signal_decay,0.4289
2026-01-06,2026-01-09,long,26178.7,25683.3,3,-0.019054,signal_decay,-1.0195
2026-01-12,2026-01-23,short,25790.25,25048.65,8,0.028625,max_hold,-1.6657
2026-01-27,2026-01-29,short,25175.4,25418.9,2,-0.009803,signal_decay,0.6799
